class,real_count,raw_synthetic_inventory,capped_inventory,verified_usable,target_total,kept_real,final_inventory_total,final_verified_total,additional_needed_inventory,additional_needed_verified
AKIEC,303,0,0,0,303,303,303,303,0,0
BCC,2522,0,0,0,2522,1119,1119,1119,0,0
BEN_OTH,44,71,60,0,132,44,104,44,28,88
BKL,544,0,0,0,544,544,544,544,0,0
DF,52,97,79,0,150,52,131,52,19,98
INF,50,90,78,0,150,50,128,50,22,100
MAL_OTH,9,49,18,0,27,9,27,9,0,18
MEL,450,0,0,0,450,450,450,450,0,0
NV,746,0,0,0,746,746,746,746,0,0
SCCKA,473,0,0,0,473,473,473,473,0,0
VASC,47,225,94,0,141,47,141,47,0,94
