field,value,full_ratio,kept_ratio,absolute_drift,variant
sex,female,0.3917525773195876,0.38873994638069703,0.0030126309388905925,0
sex,male,0.6082474226804123,0.6112600536193029,0.0030126309388905925,0
site,foot,0.005947660586835844,0.004468275245755138,0.001479385341080706,0
site,hand,0.005154639175257732,0.004468275245755138,0.0006863639295025935,0
site,head_neck_face,0.29540047581284695,0.2940125111706881,0.0013879646421588454,0
site,lower_extremity,0.17525773195876287,0.1742627345844504,0.0009949973743124674,0
site,trunk,0.3810467882632831,0.38248436103663985,0.0014375727733567656,0
site,unknown,0.0015860428231562252,0.0035746201966041107,0.0019885773734478855,0
site,upper_extremity,0.13560666137985725,0.13672922252010725,0.0011225611402500002,0
skin_tone_class,0,0.0003965107057890563,0.0008936550491510277,0.0004971443433619714,0
skin_tone_class,1,0.00753370340999207,0.008936550491510277,0.0014028470815182067,0
skin_tone_class,2,0.030531324345757335,0.029490616621983913,0.0010407077237734215,0
skin_tone_class,3,0.6804123711340206,0.680071492403932,0.0003408787300885896,0
skin_tone_class,4,0.19666931007137192,0.19749776586237713,0.0008284557910052115,0
skin_tone_class,5,0.084456780333069,0.08310991957104558,0.0013468607620234219,0
age_bin,30-49,0.07375099127676447,0.07238605898123325,0.0013649322955312237,0
age_bin,50-69,0.4888977002379064,0.4879356568364611,0.0009620434014452894,0
age_bin,70+,0.4357652656621729,0.43699731903485256,0.0012320533726796756,0
age_bin,<30,0.0015860428231562252,0.002680965147453083,0.001094922324296858,0
