class,real_count,raw_synthetic_inventory,capped_inventory,verified_usable,target_total,kept_real,final_inventory_total,final_verified_total,additional_needed_inventory,additional_needed_verified
AKIEC,303,0,0,0,303,303,303,303,0,0
BCC,2522,0,0,0,2522,1119,1119,1119,0,0
BEN_OTH,44,0,0,0,132,44,44,44,88,88
BKL,544,0,0,0,544,544,544,544,0,0
DF,52,0,0,0,150,52,52,52,98,98
INF,50,0,0,0,150,50,50,50,100,100
MAL_OTH,9,0,0,0,27,9,9,9,18,18
MEL,450,0,0,0,450,450,450,450,0,0
NV,746,0,0,0,746,746,746,746,0,0
SCCKA,473,0,0,0,473,473,473,473,0,0
VASC,47,0,0,0,141,47,47,47,94,94
