class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5365853658536586,0.7213114754098361,0.961499493414387,0.6153846153846154,0.9336788081120135
BCC,504,0.9064748201438849,0.75,0.9283088235294118,0.8208469055374593,0.948233981092437
BEN_OTH,9,0.125,0.1111111111111111,0.9932627526467758,0.11764705882352941,0.7605603678750935
BKL,109,0.59,0.5412844036697247,0.9563365282215123,0.5645933014354066,0.8697814383836016
DF,10,0.47368421052631576,0.9,0.9903660886319846,0.6206896551724138,0.9963391136801542
INF,10,0.1875,0.3,0.98747591522158,0.23076923076923078,0.9522157996146436
MAL_OTH,2,0.0,0.0,0.9933078393881453,0.0,0.5463671128107075
MEL,90,0.6078431372549019,0.6888888888888889,0.9582463465553236,0.6458333333333334,0.894276270006959
NV,149,0.7721518987341772,0.8187919463087249,0.9599555061179088,0.7947882736156352,0.9425536203537115
SCCKA,95,0.48484848484848486,0.6736842105263158,0.9286463798530955,0.5638766519823789,0.9023802949135694
VASC,9,1.0,0.7777777777777778,1.0,0.875,0.9929419313442412
