class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.28662420382165604,0.7377049180327869,0.8865248226950354,0.41284403669724773,0.901024797780989
BCC,504,0.9344262295081968,0.4523809523809524,0.9705882352941176,0.6096256684491979,0.928017040149393
BEN_OTH,9,0.1875,0.3333333333333333,0.987487969201155,0.24,0.8225858196984279
BKL,109,0.28846153846153844,0.5504587155963303,0.8423855165069223,0.3785488958990536,0.7756152846576975
DF,10,0.2916666666666667,0.7,0.9836223506743738,0.4117647058823529,0.963776493256262
INF,10,0.2727272727272727,0.3,0.9922928709055877,0.2857142857142857,0.7976878612716762
MAL_OTH,2,0.0,0.0,0.9913957934990439,0.0,0.24569789674952197
MEL,90,0.5060240963855421,0.4666666666666667,0.9572025052192067,0.48554913294797686,0.8785084667130596
NV,149,0.650887573964497,0.738255033557047,0.9343715239154616,0.6918238993710691,0.9312360490029936
SCCKA,95,0.5135135135135135,0.6,0.9433368310598111,0.5533980582524272,0.8796487546252831
VASC,9,0.375,0.6666666666666666,0.9903753609239654,0.48,0.9673831675756603
