class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4583333333333333,0.5409836065573771,0.9604863221884499,0.49624060150375937,0.9177670370554919
BCC,504,0.8849765258215962,0.748015873015873,0.9099264705882353,0.810752688172043,0.9287464985994398
BEN_OTH,9,0.13636363636363635,0.3333333333333333,0.9817131857555341,0.1935483870967742,0.8439739065340606
BKL,109,0.4117647058823529,0.3853211009174312,0.9361022364217252,0.3981042654028436,0.7939345976101846
DF,10,0.3,0.3,0.9932562620423893,0.3,0.9513487475915221
INF,10,0.5,0.4,0.9961464354527938,0.4444444444444444,0.9203275529865126
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5999043977055449
MEL,90,0.5714285714285714,0.4444444444444444,0.9686847599164927,0.5,0.8978543261424263
NV,149,0.7126436781609196,0.8322147651006712,0.9443826473859844,0.7678018575851393,0.956618464961068
SCCKA,95,0.4896551724137931,0.7473684210526316,0.9223504721930745,0.5916666666666667,0.9327884243662672
VASC,9,0.42105263157894735,0.8888888888888888,0.9894128970163619,0.5714285714285714,0.9952946208961608
