class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.3333333333333333,0.5901639344262295,0.9270516717325228,0.4260355029585799,0.9024033750228379
BCC,504,0.9528023598820059,0.6408730158730159,0.9705882352941176,0.7663107947805456,0.9472127392623715
BEN_OTH,9,0.3,0.3333333333333333,0.9932627526467758,0.3157894736842105,0.8187359640680141
BKL,109,0.37142857142857144,0.47706422018348627,0.906283280085197,0.41767068273092367,0.7912184541430958
DF,10,0.34782608695652173,0.8,0.9855491329479769,0.48484848484848486,0.9671483622350675
INF,10,0.2,0.4,0.9845857418111753,0.26666666666666666,0.8058766859344895
MAL_OTH,2,0.0,0.0,0.9980879541108987,0.0,0.4923518164435946
MEL,90,0.5688073394495413,0.6888888888888889,0.9509394572025052,0.6231155778894473,0.8977267455346787
NV,149,0.8129496402877698,0.7583892617449665,0.9710789766407119,0.7847222222222222,0.9387985158752081
SCCKA,95,0.4748201438848921,0.6947368421052632,0.9233997901364114,0.5641025641025641,0.908035566355553
VASC,9,0.3684210526315789,0.7777777777777778,0.9884504331087585,0.5,0.9318789434285103
