class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.38738738738738737,0.7049180327868853,0.9311043566362716,0.5,0.9180327868852459
BCC,504,0.9538461538461539,0.6150793650793651,0.9724264705882353,0.7478890229191797,0.9575892857142857
BEN_OTH,9,0.36363636363636365,0.4444444444444444,0.9932627526467758,0.4,0.9142337717891134
BKL,109,0.4105960264900662,0.5688073394495413,0.9052183173588925,0.47692307692307695,0.8126838037732901
DF,10,0.34615384615384615,0.9,0.9836223506743738,0.5,0.959344894026975
INF,10,0.21428571428571427,0.3,0.9894026974951831,0.25,0.9463391136801541
MAL_OTH,2,0.0,0.0,0.9990439770554493,0.0,0.5922562141491396
MEL,90,0.6666666666666666,0.7111111111111111,0.9665970772442589,0.6881720430107527,0.9305381581999537
NV,149,0.852112676056338,0.8120805369127517,0.9766407119021134,0.8316151202749141,0.9577681390956395
SCCKA,95,0.41509433962264153,0.6947368421052632,0.9024134312696747,0.5196850393700787,0.9214005633180538
VASC,9,0.5,0.6666666666666666,0.9942252165543792,0.5714285714285714,0.9951876804619827
