class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5507246376811594,0.6229508196721312,0.9685916919959473,0.5846153846153846,0.9171192718454665
BCC,504,0.9084821428571429,0.8075396825396826,0.9246323529411765,0.8550420168067226,0.9552951388888888
BEN_OTH,9,0.25,0.1111111111111111,0.9971126082771896,0.15384615384615385,0.7703988878194845
BKL,109,0.5922330097087378,0.5596330275229358,0.9552715654952076,0.5754716981132075,0.8748131430078845
DF,10,0.5625,0.9,0.9932562620423893,0.6923076923076923,0.9932080924855492
INF,10,0.45454545454545453,0.5,0.9942196531791907,0.47619047619047616,0.9219653179190752
MAL_OTH,2,0.0,0.0,0.997131931166348,0.0,0.7260994263862333
MEL,90,0.6875,0.7333333333333333,0.9686847599164927,0.7096774193548387,0.9068429598700997
NV,149,0.84,0.8456375838926175,0.9733036707452726,0.842809364548495,0.955954042896283
SCCKA,95,0.48201438848920863,0.7052631578947368,0.9244491080797481,0.5726495726495726,0.9250897442977853
VASC,9,0.7777777777777778,0.7777777777777778,0.9980750721847931,0.7777777777777778,0.9951876804619827
