class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4946236559139785,0.7540983606557377,0.9523809523809523,0.5974025974025974,0.9549055757636155
BCC,504,0.9128540305010894,0.8313492063492064,0.9264705882352942,0.8701973001038421,0.9574251575630253
BEN_OTH,9,0.4,0.2222222222222222,0.9971126082771896,0.2857142857142857,0.7803443481980537
BKL,109,0.5338983050847458,0.5779816513761468,0.9414270500532481,0.5550660792951542,0.8770798526638723
DF,10,0.7,0.7,0.9971098265895953,0.7,0.9764932562620423
INF,10,0.25,0.3,0.9913294797687862,0.2727272727272727,0.9532755298651252
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6051625239005736
MEL,90,0.7012987012987013,0.6,0.975991649269311,0.6467065868263473,0.9444908373927162
NV,149,0.7730061349693251,0.8456375838926175,0.9588431590656284,0.8076923076923077,0.9786265126800099
SCCKA,95,0.6,0.631578947368421,0.9580272822665268,0.6153846153846154,0.9275197437455127
VASC,9,0.6363636363636364,0.7777777777777778,0.9961501443695862,0.7,0.99475991872527
