class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.47674418604651164,0.6721311475409836,0.9544072948328267,0.5578231292517006,0.955237763050808
BCC,504,0.9039665970772442,0.8591269841269841,0.9154411764705882,0.8809766022380467,0.9640741713352006
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.9049299540156133
BKL,109,0.5803571428571429,0.5963302752293578,0.9499467518636848,0.5882352941176471,0.8972164414612462
DF,10,0.6363636363636364,0.7,0.9961464354527938,0.6666666666666666,0.9870905587668594
INF,10,0.5,0.4,0.9961464354527938,0.4444444444444444,0.9391136801541426
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7576481835564054
MEL,90,0.6436781609195402,0.6222222222222222,0.9676409185803758,0.632768361581921,0.9456042681512411
NV,149,0.7884615384615384,0.825503355704698,0.9632925472747497,0.8065573770491803,0.980283835133743
SCCKA,95,0.6129032258064516,0.6,0.9622245540398741,0.6063829787234043,0.9289556525100789
VASC,9,0.6666666666666666,0.6666666666666666,0.9971126082771896,0.6666666666666666,0.9926211100417068
