class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5230769230769231,0.5573770491803278,0.9685916919959473,0.5396825396825397,0.9533941236068896
BCC,504,0.8697318007662835,0.9007936507936508,0.875,0.884990253411306,0.9584135737628384
BEN_OTH,9,0.5,0.1111111111111111,0.9990375360923965,0.18181818181818182,0.8334937439846006
BKL,109,0.5833333333333334,0.5137614678899083,0.9574014909478168,0.5463414634146342,0.8761321335404636
DF,10,0.7,0.7,0.9971098265895953,0.7,0.9739884393063584
INF,10,0.36363636363636365,0.4,0.9932562620423893,0.38095238095238093,0.9776493256262042
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7351816443594645
MEL,90,0.6779661016949152,0.4444444444444444,0.9801670146137788,0.5369127516778524,0.9321387149153328
NV,149,0.6834170854271356,0.912751677852349,0.9299221357063404,0.7816091954022989,0.9751625594433786
SCCKA,95,0.6103896103896104,0.49473684210526314,0.968520461699895,0.5465116279069767,0.9273209256088806
VASC,9,0.8571428571428571,0.6666666666666666,0.9990375360923965,0.75,0.995401561330339
