class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.45555555555555555,0.6721311475409836,0.950354609929078,0.543046357615894,0.9543906854684671
BCC,504,0.9090909090909091,0.8333333333333334,0.9227941176470589,0.8695652173913043,0.9585193452380952
BEN_OTH,9,0.3333333333333333,0.2222222222222222,0.9961501443695862,0.26666666666666666,0.8742380494064805
BKL,109,0.5169491525423728,0.5596330275229358,0.939297124600639,0.5374449339207048,0.8622876180985043
DF,10,0.6666666666666666,0.8,0.9961464354527938,0.7272727272727273,0.9880539499036609
INF,10,0.4,0.4,0.9942196531791907,0.4,0.93121387283237
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7103250478011472
MEL,90,0.6666666666666666,0.5777777777777777,0.9728601252609603,0.6190476190476191,0.9374159127812572
NV,149,0.7485029940119761,0.8389261744966443,0.9532814238042269,0.7911392405063291,0.974908735283798
SCCKA,95,0.58,0.6105263157894737,0.9559286463798531,0.5948717948717949,0.9257966532280334
VASC,9,1.0,0.5555555555555556,1.0,0.7142857142857143,0.9940113356860228
