class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.41284403669724773,0.7377049180327869,0.9351570415400202,0.5294117647058824,0.9543574667397479
BCC,504,0.9196217494089834,0.7718253968253969,0.9375,0.8392664509169363,0.9584792250233426
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.8287883648807614
BKL,109,0.5225225225225225,0.5321100917431193,0.9435569755058573,0.5272727272727272,0.8712860646207659
DF,10,0.6666666666666666,0.6,0.9971098265895953,0.631578947368421,0.9736994219653179
INF,10,0.22727272727272727,0.5,0.9836223506743738,0.3125,0.9699421965317919
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6701720841300192
MEL,90,0.6933333333333334,0.5777777777777777,0.975991649269311,0.6303030303030303,0.9419972164231037
NV,149,0.7341040462427746,0.8523489932885906,0.9488320355951056,0.7888198757763976,0.9744608102963024
SCCKA,95,0.5688073394495413,0.6526315789473685,0.950682056663169,0.6078431372549019,0.9283039708400066
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9949737995936263
