class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4927536231884058,0.5573770491803278,0.9645390070921985,0.5230769230769231,0.9498563289982893
BCC,504,0.8832599118942731,0.7956349206349206,0.9025735294117647,0.837160751565762,0.941657913165266
BEN_OTH,9,0.3333333333333333,0.1111111111111111,0.9980750721847931,0.16666666666666666,0.79103839161587
BKL,109,0.6265060240963856,0.47706422018348627,0.966986155484558,0.5416666666666666,0.8506511905110844
DF,10,0.5454545454545454,0.6,0.9951830443159922,0.5714285714285714,0.9777456647398844
INF,10,0.3333333333333333,0.4,0.9922928709055877,0.36363636363636365,0.9065510597302504
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5401529636711282
MEL,90,0.7321428571428571,0.45555555555555555,0.9843423799582464,0.5616438356164384,0.9045465089306425
NV,149,0.6974358974358974,0.912751677852349,0.9343715239154616,0.7906976744186046,0.9711163037230032
SCCKA,95,0.4838709677419355,0.7894736842105263,0.9160545645330536,0.6,0.9262716076655437
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9898406587530745
