class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4444444444444444,0.7213114754098361,0.9442755825734549,0.55,0.9466341123125218
BCC,504,0.9140969162995595,0.8234126984126984,0.9283088235294118,0.8663883089770354,0.9608682014472456
BEN_OTH,9,0.2222222222222222,0.2222222222222222,0.9932627526467758,0.2222222222222222,0.8946636723345097
BKL,109,0.5161290322580645,0.5871559633027523,0.9361022364217252,0.5493562231759657,0.8886381178493615
DF,10,0.8571428571428571,0.6,0.9990366088631984,0.7058823529411765,0.9791907514450867
INF,10,0.42857142857142855,0.3,0.9961464354527938,0.35294117647058826,0.9142581888246628
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6290630975143403
MEL,90,0.6235294117647059,0.5888888888888889,0.9665970772442589,0.6057142857142858,0.9392252377638599
NV,149,0.7664670658682635,0.8590604026845637,0.9566184649610678,0.810126582278481,0.978021813946891
SCCKA,95,0.6206896551724138,0.5684210526315789,0.9653725078698846,0.5934065934065934,0.9199315181973823
VASC,9,0.6666666666666666,0.6666666666666666,0.9971126082771896,0.6666666666666666,0.9831034113998502
