class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.68,0.5573770491803278,0.983789260385005,0.6126126126126126,0.955902137625193
BCC,504,0.8386524822695035,0.9384920634920635,0.8327205882352942,0.8857677902621723,0.9477124183006536
BEN_OTH,9,0.0,0.0,1.0,0.0,0.8051545289273874
BKL,109,0.6329113924050633,0.45871559633027525,0.9691160809371672,0.5319148936170213,0.8632646481226368
DF,10,1.0,0.6,1.0,0.75,0.961946050096339
INF,10,1.0,0.1,1.0,0.18181818181818182,0.928709055876686
MAL_OTH,2,0.0,0.0,1.0,0.0,0.4579349904397706
MEL,90,0.7916666666666666,0.4222222222222222,0.9895615866388309,0.5507246376811594,0.9257248898167478
NV,149,0.6834170854271356,0.912751677852349,0.9299221357063404,0.7816091954022989,0.9711237691394614
SCCKA,95,0.6344086021505376,0.6210526315789474,0.9643231899265478,0.6276595744680851,0.9262274258574033
VASC,9,0.75,0.6666666666666666,0.9980750721847931,0.7058823529411765,0.9897337183188963
