class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4358974358974359,0.8360655737704918,0.9331306990881459,0.5730337078651685,0.9507200159449898
BCC,504,0.9125799573560768,0.8492063492063492,0.9246323529411765,0.8797533401849948,0.955860469187675
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.812105657148968
BKL,109,0.5825242718446602,0.5504587155963303,0.9542066027689031,0.5660377358490566,0.8624732538030895
DF,10,1.0,0.6,1.0,0.75,0.9851637764932563
INF,10,0.42857142857142855,0.3,0.9961464354527938,0.35294117647058826,0.9107899807321773
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6615678776290631
MEL,90,0.59375,0.6333333333333333,0.9592901878914405,0.6129032258064516,0.9376246810484806
NV,149,0.7592592592592593,0.825503355704698,0.9566184649610678,0.7909967845659164,0.9726168524311128
SCCKA,95,0.6710526315789473,0.5368421052631579,0.9737670514165793,0.5964912280701754,0.921234881537527
VASC,9,0.8571428571428571,0.6666666666666666,0.9990375360923965,0.75,0.9873810287669768
