class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.532258064516129,0.5409836065573771,0.9706180344478217,0.5365853658536586,0.9561512780905874
BCC,504,0.8695652173913043,0.9126984126984127,0.8731617647058824,0.8906098741529526,0.9555540966386554
BEN_OTH,9,0.0,0.0,1.0,0.0,0.8083627419527323
BKL,109,0.5130434782608696,0.5412844036697247,0.9403620873269436,0.5267857142857143,0.8864593408955457
DF,10,0.8571428571428571,0.6,0.9990366088631984,0.7058823529411765,0.9735067437379576
INF,10,1.0,0.1,1.0,0.18181818181818182,0.9686897880539499
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5984703632887189
MEL,90,0.7543859649122807,0.4777777777777778,0.9853862212943633,0.5850340136054422,0.9244838784504755
NV,149,0.7243243243243244,0.8993288590604027,0.9432703003337041,0.8023952095808383,0.9687646975386522
SCCKA,95,0.6506024096385542,0.5684210526315789,0.9695697796432319,0.6067415730337079,0.9295521069199757
VASC,9,0.7777777777777778,0.7777777777777778,0.9980750721847931,0.7777777777777778,0.9833172922682065
