class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4857142857142857,0.5573770491803278,0.9635258358662614,0.5190839694656488,0.9502549537429201,0.609002592946948
BCC,504,0.8792079207920792,0.8809523809523809,0.8878676470588235,0.8800792864222002,0.9538179855275443,0.6986050130112788
BEN_OTH,9,0.2222222222222222,0.2222222222222222,0.9932627526467758,0.2222222222222222,0.8215164153566463,0.4282316188516939
BKL,109,0.5686274509803921,0.5321100917431193,0.9531416400425985,0.5497630331753555,0.8738751941847173,0.6649800459596686
DF,10,0.8888888888888888,0.8,0.9990366088631984,0.8421052631578947,0.9309248554913295,0.835156923069625
INF,10,0.2777777777777778,0.5,0.98747591522158,0.35714285714285715,0.9644508670520231,0.44976623439813734
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5836520076481835,
MEL,90,0.7424242424242424,0.5444444444444444,0.9822546972860126,0.6282051282051282,0.9279749478079332,0.7399480641897697
NV,149,0.7848101265822784,0.8322147651006712,0.9621802002224694,0.8078175895765473,0.9691305029451068,0.7555978444970123
SCCKA,95,0.56,0.5894736842105263,0.9538300104931794,0.5743589743589743,0.9281051527033743,0.6240561730562784
VASC,9,0.5454545454545454,0.6666666666666666,0.9951876804619827,0.6,0.9793604962036145,0.8497766115613142
