class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4492753623188406,0.5081967213114754,0.961499493414387,0.47692307692307695,0.9452223163419536,0.6310096671012204
BCC,504,0.8582230623818525,0.9007936507936508,0.8621323529411765,0.8789932236205228,0.9531322945845004,0.7393951662798268
BEN_OTH,9,0.2222222222222222,0.2222222222222222,0.9932627526467758,0.2222222222222222,0.8010907924286172,0.4119761308917219
BKL,109,0.6506024096385542,0.4954128440366973,0.9691160809371672,0.5625,0.8816914343777785,0.641359994693783
DF,10,0.8,0.8,0.9980732177263969,0.8,0.9454720616570327,0.7166767750471176
INF,10,0.23076923076923078,0.3,0.9903660886319846,0.2608695652173913,0.958766859344894,0.4504171724737726
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8293499043977055,
MEL,90,0.7540983606557377,0.5111111111111111,0.9843423799582464,0.609271523178808,0.9350034794711204,0.7667306130672569
NV,149,0.7705882352941177,0.8791946308724832,0.9566184649610678,0.8213166144200627,0.9723555628550739,0.7851339782149055
SCCKA,95,0.6288659793814433,0.6421052631578947,0.9622245540398741,0.6354166666666666,0.9348428784448004,0.6254745159163627
VASC,9,0.8571428571428571,0.6666666666666666,0.9990375360923965,0.75,0.9629986097743557,0.8392754758604496
