class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.6222222222222222,0.45901639344262296,0.9827760891590679,0.5283018867924528,0.9444416762170512,0.5774221327350688
BCC,504,0.8671726755218216,0.9067460317460317,0.8713235294117647,0.8865179437439379,0.9564039157329598,0.7542187141288618
BEN_OTH,9,0.3333333333333333,0.1111111111111111,0.9980750721847931,0.16666666666666666,0.8130681210565716,0.3416544963595762
BKL,109,0.7261904761904762,0.5596330275229358,0.9755058572949947,0.6321243523316062,0.8725952848531034,0.6622139425603136
DF,10,0.8,0.8,0.9980732177263969,0.8,0.9384393063583816,0.7838599338873586
INF,10,0.375,0.3,0.9951830443159922,0.3333333333333333,0.9377649325626205,0.4875813633108265
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8307839388145315,
MEL,90,0.7580645161290323,0.5222222222222223,0.9843423799582464,0.618421052631579,0.9373695198329854,0.8190097391816756
NV,149,0.7674418604651163,0.8859060402684564,0.9555061179087876,0.822429906542056,0.9729453307552761,0.8342433825867855
SCCKA,95,0.5572519083969466,0.7684210526315789,0.9391395592864638,0.6460176991150443,0.9379356050146351,0.726688775362128
VASC,9,1.0,0.6666666666666666,1.0,0.8,0.95925569457812,0.7923757589454691
