class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.45555555555555555,0.6721311475409836,0.950354609929078,0.543046357615894,0.9525636553889084
BCC,504,0.9175704989154013,0.8392857142857143,0.9301470588235294,0.8766839378238342,0.9567905287114846
BEN_OTH,9,0.5,0.2222222222222222,0.9980750721847931,0.3076923076923077,0.876376858090044
BKL,109,0.5981308411214953,0.5871559633027523,0.9542066027689031,0.5925925925925926,0.8724194194487596
DF,10,0.8888888888888888,0.8,0.9990366088631984,0.8421052631578947,0.98121387283237
INF,10,0.4444444444444444,0.4,0.9951830443159922,0.42105263157894735,0.9354527938342967
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8518164435946463
MEL,90,0.6794871794871795,0.5888888888888889,0.9739039665970772,0.6309523809523809,0.9467640918580376
NV,149,0.7771084337349398,0.8657718120805369,0.9588431590656284,0.819047619047619,0.9722211853588253
SCCKA,95,0.5478260869565217,0.6631578947368421,0.9454354669464848,0.6,0.9284696526205335
VASC,9,0.7777777777777778,0.7777777777777778,0.9980750721847931,0.7777777777777778,0.9796813175061491
