class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4864864864864865,0.5901639344262295,0.961499493414387,0.5333333333333333,0.9417011310977128
BCC,504,0.883629191321499,0.8888888888888888,0.8915441176470589,0.8862512363996043,0.9514654820261438
BEN_OTH,9,0.5,0.1111111111111111,0.9990375360923965,0.18181818181818182,0.9140198909207572
BKL,109,0.7205882352941176,0.44954128440366975,0.979765708200213,0.5536723163841808,0.8495080653828493
DF,10,0.7272727272727273,0.8,0.9971098265895953,0.7619047619047619,0.9422928709055878
INF,10,0.2727272727272727,0.3,0.9922928709055877,0.2857142857142857,0.958766859344894
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8417782026768642
MEL,90,0.6785714285714286,0.6333333333333333,0.9718162839248434,0.6551724137931034,0.9298654604500116
NV,149,0.7891566265060241,0.8791946308724832,0.9610678531701891,0.8317460317460318,0.975550761099208
SCCKA,95,0.5677966101694916,0.7052631578947368,0.9464847848898216,0.6291079812206573,0.9306235157673828
VASC,9,0.7142857142857143,0.5555555555555556,0.9980750721847931,0.625,0.9423591059779703
