class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.3524590163934426,0.7049180327868853,0.9199594731509625,0.46994535519125685,0.9375155712790871
BCC,504,0.8949671772428884,0.8115079365079365,0.9117647058823529,0.8511966701352758,0.9453708566760037
BEN_OTH,9,0.5,0.2222222222222222,0.9980750721847931,0.3076923076923077,0.8689979681317507
BKL,109,0.6210526315789474,0.5412844036697247,0.9616613418530351,0.5784313725490197,0.8724975818506903
DF,10,0.7,0.7,0.9971098265895953,0.7,0.9604046242774567
INF,10,0.3333333333333333,0.2,0.9961464354527938,0.25,0.938728323699422
MAL_OTH,2,0.0,0.0,0.9980879541108987,0.0,0.7978011472275334
MEL,90,0.8095238095238095,0.5666666666666667,0.9874739039665971,0.6666666666666666,0.9369519832985387
NV,149,0.8012422360248447,0.8657718120805369,0.96440489432703,0.832258064516129,0.9648528193145254
SCCKA,95,0.5213675213675214,0.6421052631578947,0.9412381951731374,0.5754716981132075,0.9176782459822168
VASC,9,0.6363636363636364,0.7777777777777778,0.9961501443695862,0.7,0.9601112180515453
