class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.34057971014492755,0.7704918032786885,0.9078014184397163,0.4723618090452261,0.9371003371700966
BCC,504,0.9249329758713136,0.6845238095238095,0.9485294117647058,0.7867730900798175,0.9452213176937442
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.8608704951342102
BKL,109,0.5508474576271186,0.5963302752293578,0.9435569755058573,0.5726872246696035,0.8438706021436038
DF,10,1.0,0.8,1.0,0.8888888888888888,0.964354527938343
INF,10,0.5555555555555556,0.5,0.9961464354527938,0.5263157894736842,0.9498073217726397
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8312619502868068
MEL,90,0.6901408450704225,0.5444444444444444,0.9770354906054279,0.6086956521739131,0.9323010902342844
NV,149,0.7668711656441718,0.8389261744966443,0.9577308120133482,0.8012820512820513,0.973983023642974
SCCKA,95,0.4090909090909091,0.6631578947368421,0.9045120671563484,0.5060240963855421,0.9024576130778151
VASC,9,0.6666666666666666,0.6666666666666666,0.9971126082771896,0.6666666666666666,0.9751898192706663
