class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5333333333333333,0.5245901639344263,0.9716312056737588,0.5289256198347108,0.931569418838341,0.7512532050588749
BCC,504,0.8306306306306306,0.9146825396825397,0.8272058823529411,0.8706326723323891,0.9449805964052288,0.9342590110259654
BEN_OTH,9,0.25,0.2222222222222222,0.9942252165543792,0.23529411764705882,0.9147684739600043,0.5825047867840687
BKL,109,0.5113636363636364,0.41284403669724773,0.9542066027689031,0.45685279187817257,0.847554005334584,0.823296209560333
DF,10,1.0,0.4,1.0,0.5714285714285714,0.9450867052023122,0.6322185132421659
INF,10,0.5,0.1,0.9990366088631984,0.16666666666666666,0.951252408477842,0.5641417964380202
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6668260038240919,
MEL,90,0.6376811594202898,0.4888888888888889,0.9739039665970772,0.5534591194968553,0.9177800974251914,0.8002627396564482
NV,149,0.7453416149068323,0.8053691275167785,0.9543937708565072,0.7741935483870968,0.966666915513882,0.9241321774975808
SCCKA,95,0.5851063829787234,0.5789473684210527,0.9590766002098636,0.582010582010582,0.9288120616336223,0.8632292021357528
VASC,9,0.5714285714285714,0.4444444444444444,0.9971126082771896,0.5,0.9754037001390226,0.8877648047082817
