class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4393939393939394,0.47540983606557374,0.9625126646403243,0.4566929133858268,0.8991313302439916,0.7196388518815887
BCC,504,0.8247011952191236,0.8214285714285714,0.8382352941176471,0.8230616302186878,0.9160174486461251,0.8460067732613414
BEN_OTH,9,0.4444444444444444,0.4444444444444444,0.9951876804619827,0.4444444444444444,0.9179766869853492,0.5612100566913724
BKL,109,0.42857142857142855,0.3302752293577982,0.9488817891373802,0.37305699481865284,0.8294496389874062,0.7500645311502122
DF,10,0.5,0.3,0.9971098265895953,0.375,0.9631984585741811,0.8991721215364459
INF,10,0.2,0.1,0.9961464354527938,0.13333333333333333,0.934971098265896,0.9507527404597664
MAL_OTH,2,0.0,0.0,0.9990439770554493,0.0,0.7165391969407267,
MEL,90,0.5526315789473685,0.4666666666666667,0.964509394572025,0.5060240963855421,0.907782417072605,0.7485004238232172
NV,149,0.7218543046357616,0.7315436241610739,0.9532814238042269,0.7266666666666667,0.9526991213204828,0.893575252690589
SCCKA,95,0.4676258992805755,0.6842105263157895,0.9223504721930745,0.5555555555555556,0.9296515159882919,0.8516298286806256
VASC,9,0.7777777777777778,0.7777777777777778,0.9980750721847931,0.7777777777777778,0.9837450540049193,0.7789213662933225
