class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5510204081632653,0.4426229508196721,0.977710233029382,0.4909090909090909,0.9216038002225655,0.8278239469460749
BCC,504,0.8162544169611308,0.9166666666666666,0.8088235294117647,0.8635514018691589,0.9373468137254902,0.9301962428580144
BEN_OTH,9,0.2857142857142857,0.2222222222222222,0.9951876804619827,0.25,0.9192599721954872,0.5696179377696383
BKL,109,0.5054945054945055,0.42201834862385323,0.952076677316294,0.46,0.8387802757178727,0.7944258621294705
DF,10,0.6,0.3,0.9980732177263969,0.4,0.9826589595375723,0.7967170041723741
INF,10,0.16666666666666666,0.1,0.9951830443159922,0.125,0.9249518304431599,0.8071523425578765
MAL_OTH,2,0.0,0.0,1.0,0.0,0.3369980879541109,
MEL,90,0.589041095890411,0.4777777777777778,0.9686847599164927,0.5276073619631901,0.9173857573648805,0.8081486020349118
NV,149,0.7124183006535948,0.7315436241610739,0.9510567296996663,0.7218543046357616,0.9507133205425864,0.9232678152285683
SCCKA,95,0.6511627906976745,0.5894736842105263,0.968520461699895,0.6187845303867403,0.9274645164853371,0.8878780328775671
VASC,9,0.5,0.6666666666666666,0.9942252165543792,0.5714285714285714,0.9668484654047695,0.8239844965819253
