class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5909090909090909,0.21311475409836064,0.9908814589665653,0.3132530120481928,0.9425149899513345,0.5978547142477916
BCC,504,0.798951048951049,0.9067460317460317,0.7886029411764706,0.8494423791821561,0.925062733426704,0.8654971790574919
BEN_OTH,9,1.0,0.1111111111111111,1.0,0.2,0.877232381563469,0.48291631453671346
BKL,109,0.44565217391304346,0.3761467889908257,0.9456869009584664,0.4079601990049751,0.7890299068890386,0.6984159428023473
DF,10,0.75,0.3,0.9990366088631984,0.42857142857142855,0.985645472061657,0.5600317394371872
INF,10,0.3333333333333333,0.1,0.9980732177263969,0.15384615384615385,0.9535645472061658,0.3355350070583783
MAL_OTH,2,0.0,0.0,1.0,0.0,0.844168260038241,
MEL,90,0.6190476190476191,0.43333333333333335,0.9749478079331941,0.5098039215686274,0.9012758060774763,0.7233701616717345
NV,149,0.7309941520467836,0.8389261744966443,0.9488320355951056,0.78125,0.9635314406014139,0.822150793334935
SCCKA,95,0.5225225225225225,0.6105263157894737,0.944386149003148,0.5631067961165048,0.9303584249185398,0.817617780236459
VASC,9,0.7777777777777778,0.7777777777777778,0.9980750721847931,0.7777777777777778,0.9797882579403272,0.6278822344922753
