class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5333333333333333,0.26229508196721313,0.9858156028368794,0.3516483516483517,0.8898799142956799,0.6617746124931628
BCC,504,0.7884615384615384,0.8134920634920635,0.7977941176470589,0.80078125,0.8928425536881419,0.8012670447719678
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.886963961073682,0.6123372942059995
BKL,109,0.42,0.3853211009174312,0.9382321618743344,0.4019138755980861,0.7597971685669901,0.6955728497795155
DF,10,0.5714285714285714,0.4,0.9971098265895953,0.47058823529411764,0.9729287090558767,0.660877049942581
INF,10,0.3,0.3,0.9932562620423893,0.3,0.916281310211946,0.5683079984552132
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7036328871892926,
MEL,90,0.546875,0.3888888888888889,0.9697286012526096,0.45454545454545453,0.8844815588030619,0.7617536458392234
NV,149,0.7375,0.7919463087248322,0.9532814238042269,0.7637540453074434,0.9608289598435248,0.8438518682537945
SCCKA,95,0.4357142857142857,0.6421052631578947,0.9171038824763903,0.5191489361702127,0.8974319324018336,0.8198739529874945
VASC,9,0.6,0.6666666666666666,0.9961501443695862,0.631578947368421,0.9779702705592985,0.7909394450536013
