class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5,0.26229508196721313,0.983789260385005,0.34408602150537637,0.9108077133888086,0.6848833208099327
BCC,504,0.786096256684492,0.875,0.7794117647058824,0.828169014084507,0.9126692343604108,0.8806991753523892
BEN_OTH,9,1.0,0.1111111111111111,1.0,0.2,0.8578761629772218,0.8081572664408865
BKL,109,0.4155844155844156,0.29357798165137616,0.952076677316294,0.34408602150537637,0.7888931226856603,0.7087099670835406
DF,10,0.1111111111111111,0.1,0.9922928709055877,0.10526315789473684,0.8555876685934489,0.4629205198561884
INF,10,0.25,0.1,0.9971098265895953,0.14285714285714285,0.86252408477842,0.32119746001450755
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6964627151051626,
MEL,90,0.5135135135135135,0.4222222222222222,0.9624217118997912,0.4634146341463415,0.8613546740895385,0.7677555914971278
NV,149,0.6157894736842106,0.785234899328859,0.9187986651835373,0.6902654867256637,0.9448902957051459,0.8802883461292182
SCCKA,95,0.5824175824175825,0.5578947368421052,0.9601259181532005,0.5698924731182796,0.9191583365549235,0.8299291001437602
VASC,9,0.6666666666666666,0.6666666666666666,0.9971126082771896,0.6666666666666666,0.9096353331194524,0.8686612397125769
