class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.3310344827586207,0.7868852459016393,0.9017223910840932,0.46601941747572817,0.9398408822894347,0.8152046156043822
BCC,504,0.8668171557562077,0.7619047619047619,0.8915441176470589,0.8109820485744457,0.9341955532212886,0.7939732663313298
BEN_OTH,9,0.3,0.3333333333333333,0.9932627526467758,0.3157894736842105,0.9325205860335792,0.4970018599379222
BKL,109,0.4777777777777778,0.3944954128440367,0.9499467518636848,0.4321608040201005,0.7942570175181483,0.6877101758708385
DF,10,0.45454545454545453,0.5,0.9942196531791907,0.47619047619047616,0.9779383429672447,0.7983245142357138
INF,10,0.4444444444444444,0.4,0.9951830443159922,0.42105263157894735,0.9408477842003853,0.4819646223301092
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6180688336520077,
MEL,90,0.5737704918032787,0.3888888888888889,0.9728601252609603,0.46357615894039733,0.9058223150081187,0.752244869159728
NV,149,0.7159763313609467,0.8120805369127517,0.946607341490545,0.7610062893081762,0.9557450112354519,0.8866969971564961
SCCKA,95,0.5698924731182796,0.5578947368421052,0.9580272822665268,0.5638297872340425,0.9259071077483846,0.8239367760718205
VASC,9,0.47058823529411764,0.8888888888888888,0.9913378248315688,0.6153846153846154,0.9901614800556091,0.7926281387155243
