class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4235294117647059,0.5901639344262295,0.950354609929078,0.4931506849315068,0.9235803145813609,0.824212395181434
BCC,504,0.8410852713178295,0.8611111111111112,0.8492647058823529,0.8509803921568627,0.9263575221755369,0.9139648363634595
BEN_OTH,9,0.25,0.1111111111111111,0.9971126082771896,0.15384615384615385,0.9057854774890386,0.8346918671834209
BKL,109,0.47191011235955055,0.3853211009174312,0.9499467518636848,0.42424242424242425,0.7954880753485555,0.832611213426887
DF,10,1.0,0.4,1.0,0.5714285714285714,0.9857418111753371,0.6831094913516148
INF,10,0.6666666666666666,0.2,0.9990366088631984,0.3076923076923077,0.921868978805395,0.8063944565704304
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6204588910133844,
MEL,90,0.5121951219512195,0.4666666666666667,0.9582463465553236,0.4883720930232558,0.904384133611691,0.8888737194423759
NV,149,0.7466666666666667,0.7516778523489933,0.9577308120133482,0.7491638795986622,0.9639345730901598,0.9303985771017166
SCCKA,95,0.5137614678899083,0.5894736842105263,0.944386149003148,0.5490196078431373,0.9266250621306678,0.8986079939774757
VASC,9,1.0,0.6666666666666666,1.0,0.8,0.9825687092289594,0.8399801339771983
