class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5454545454545454,0.19672131147540983,0.9898682877406282,0.2891566265060241,0.9090139020379691,0.6274142763938967
BCC,504,0.785234899328859,0.9285714285714286,0.7647058823529411,0.850909090909091,0.926342933006536,0.8696582281599299
BEN_OTH,9,1.0,0.1111111111111111,1.0,0.2,0.7948882472462838,0.5103377456860456
BKL,109,0.3951612903225806,0.44954128440366975,0.9201277955271565,0.4206008583690987,0.8017410675030043,0.7443715727479775
DF,10,0.3333333333333333,0.1,0.9980732177263969,0.15384615384615385,0.9383429672447015,0.4512676364439196
INF,10,0.0,0.0,0.9980732177263969,0.0,0.9251445086705202,
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7241873804971319,
MEL,90,0.5614035087719298,0.35555555555555557,0.9739039665970772,0.43537414965986393,0.8905242403154721,0.6910322460343253
NV,149,0.6883116883116883,0.7114093959731543,0.946607341490545,0.6996699669966997,0.9541922046121343,0.8032897090169124
SCCKA,95,0.6172839506172839,0.5263157894736842,0.9674711437565582,0.5681818181818182,0.9125089744297785,0.8188721121583248
VASC,9,0.75,0.6666666666666666,0.9980750721847931,0.7058823529411765,0.8990482301358144,0.8789052956893416
