class,f1_no_metadata,f1_with_metadata,f1_delta,recall_delta
AKIEC,0.4125,0.4296296296296296,0.017129629629629606,-0.06557377049180341
BCC,0.8624390243902439,0.8741463414634146,0.011707317073170742,0.011881188118811892
BEN_OTH,0.5789473684210527,0.5263157894736842,-0.052631578947368474,-0.0434782608695653
BKL,0.3636363636363636,0.423963133640553,0.0603267700041894,0.07339449541284399
DF,0.6545454545454545,0.6785714285714286,0.02402597402597406,0.033333333333333326
INF,0.7457627118644068,0.6885245901639344,-0.05723812170047238,-0.0357142857142857
MAL_OTH,0.8421052631578947,0.8421052631578947,0.0,0.0
MEL,0.4713375796178344,0.569620253164557,0.0982826735467226,0.0888888888888889
NV,0.6857142857142857,0.7388535031847133,0.0531392174704276,0.05369127516778527
SCCKA,0.5189873417721519,0.6206896551724138,0.10170231340026192,0.13684210526315793
VASC,0.9043478260869564,0.9026548672566372,-0.001692958830319169,-0.01851851851851838
