class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.3333333333333333,0.5409836065573771,0.9396709323583181,0.4125,0.928612101777205
BCC,505,0.85,0.8752475247524752,0.88,0.8624390243902439,0.9456329017517136
BEN_OTH,23,0.7333333333333333,0.4782608695652174,0.9964664310954063,0.5789473684210527,0.9423106467967429
BKL,109,0.38,0.3486238532110092,0.9407265774378585,0.36363636363636365,0.8132246917045275
DF,30,0.72,0.6,0.9937777777777778,0.6545454545454545,0.9205037037037037
INF,28,0.7096774193548387,0.7857142857142857,0.9920141969831411,0.7457627118644068,0.9804791481810116
MAL_OTH,11,1.0,0.7272727272727273,1.0,0.8421052631578947,0.90368722186904
MEL,90,0.5522388059701493,0.4111111111111111,0.971830985915493,0.4713375796178344,0.9167657798643714
NV,149,0.6506024096385542,0.7248322147651006,0.9423459244532804,0.6857142857142857,0.9499446275367927
SCCKA,95,0.6507936507936508,0.43157894736842106,0.9792452830188679,0.5189873417721519,0.9188182720953326
VASC,54,0.8524590163934426,0.9629629629629629,0.9918256130790191,0.9043478260869565,0.9973088438120228
