class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.3918918918918919,0.47540983606557374,0.9588665447897623,0.42962962962962964,0.9196061977402823
BCC,505,0.8615384615384616,0.8871287128712871,0.8892307692307693,0.8741463414634146,0.9503244478293984
BEN_OTH,23,0.6666666666666666,0.43478260869565216,0.9955830388692579,0.5263157894736842,0.9303272392072515
BKL,109,0.42592592592592593,0.42201834862385323,0.9407265774378585,0.423963133640553,0.846220639570579
DF,30,0.7307692307692307,0.6333333333333333,0.9937777777777778,0.6785714285714286,0.9702518518518519
INF,28,0.6363636363636364,0.75,0.9893522626441881,0.6885245901639344,0.9587083280517177
MAL_OTH,11,1.0,0.7272727272727273,1.0,0.8421052631578947,0.9064685314685313
MEL,90,0.6617647058823529,0.5,0.9784037558685446,0.569620253164557,0.9305894627021388
NV,149,0.703030303030303,0.7785234899328859,0.9512922465208747,0.7388535031847133,0.9557620718641173
SCCKA,95,0.6835443037974683,0.5684210526315789,0.9764150943396226,0.6206896551724138,0.9411022840119165
VASC,54,0.864406779661017,0.9444444444444444,0.9927338782924614,0.9026548672566371,0.9955091331113131
