class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.6274509803921569,0.5245901639344263,0.9807497467071935,0.5714285714285714,0.9371169465344561,0.6600551003332598
BCC,504,0.8518518518518519,0.9126984126984127,0.8529411764705882,0.8812260536398467,0.9497220763305323,0.8193929791842992
BEN_OTH,9,0.25,0.1111111111111111,0.9971126082771896,0.15384615384615385,0.9318789434285103,0.47242511220715455
BKL,109,0.6956521739130435,0.44036697247706424,0.9776357827476039,0.5393258426966292,0.8766890406542193,0.7660331224759189
DF,10,0.7,0.7,0.9971098265895953,0.7,0.9935452793834296,0.8273379764883272
INF,10,0.3333333333333333,0.4,0.9922928709055877,0.36363636363636365,0.9318882466281311,0.513106240562806
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8637667304015296,
MEL,90,0.6857142857142857,0.5333333333333333,0.9770354906054279,0.6,0.939503595453491,0.8559459831504025
NV,149,0.7869822485207101,0.8926174496644296,0.9599555061179088,0.8364779874213837,0.9792461422460452,0.9182610676148294
SCCKA,95,0.5486725663716814,0.6526315789473685,0.9464847848898216,0.5961538461538461,0.9356160600872592,0.7486327272520219
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.990161480055609,0.8977980684496784
