class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5862068965517241,0.5573770491803278,0.9756838905775076,0.5714285714285714,0.9428637866028867,0.6817200291819374
BCC,504,0.8493647912885662,0.9285714285714286,0.8474264705882353,0.8872037914691943,0.9543103699813259,0.8575132698109202
BEN_OTH,9,0.0,0.0,1.0,0.0,0.9267458025879586,
BKL,109,0.71875,0.42201834862385323,0.9808306709265175,0.5317919075144508,0.8854823108714129,0.7827641068290382
DF,10,0.6666666666666666,0.8,0.9961464354527938,0.7272727272727273,0.994412331406551,0.7561881240394631
INF,10,0.3333333333333333,0.3,0.9942196531791907,0.3157894736842105,0.9427745664739885,0.49691247171295344
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8217017208413002,
MEL,90,0.7435897435897436,0.6444444444444445,0.9791231732776617,0.6904761904761905,0.9484226397587567,0.8257307216778077
NV,149,0.8562091503267973,0.8791946308724832,0.9755283648498332,0.8675496688741722,0.9811647542758173,0.865254183335253
SCCKA,95,0.5585585585585585,0.6526315789473685,0.9485834207764953,0.6019417475728155,0.9418898768432098,0.7679307200926802
VASC,9,0.5833333333333334,0.7777777777777778,0.9951876804619827,0.6666666666666666,0.9774355683884077,0.9349412182573521
