class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.543859649122807,0.5081967213114754,0.9736575481256332,0.5254237288135594,0.9353563539123358,0.7177097905664085
BCC,504,0.8804780876494024,0.876984126984127,0.8897058823529411,0.878727634194831,0.9540477649393091,0.7991529519780378
BEN_OTH,9,0.0,0.0,1.0,0.0,0.9151962356967169,
BKL,109,0.6263736263736264,0.5229357798165137,0.9637912673056444,0.57,0.8680032437396801,0.7934489614580726
DF,10,0.5714285714285714,0.8,0.9942196531791907,0.6666666666666666,0.9941233140655106,0.8201789933216086
INF,10,0.3333333333333333,0.5,0.9903660886319846,0.4,0.925626204238921,0.6675636828967906
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8111854684512428,
MEL,90,0.6976744186046512,0.6666666666666666,0.9728601252609603,0.6818181818181818,0.9475063790303874,0.8603324887576639
NV,149,0.8590604026845637,0.8590604026845637,0.9766407119021134,0.8590604026845637,0.9786190472635515,0.8562694031755674
SCCKA,95,0.532258064516129,0.6947368421052632,0.9391395592864638,0.6027397260273972,0.940851604351908,0.7964147665614842
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9735857127579939,0.8792668605594597
