class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5384615384615384,0.5737704918032787,0.9696048632218845,0.5555555555555556,0.9428139585098078,0.6941624438078248
BCC,504,0.8676748582230623,0.9107142857142857,0.8713235294117647,0.888673765730881,0.9539055205415499,0.8528098285999313
BEN_OTH,9,0.25,0.1111111111111111,0.9971126082771896,0.15384615384615385,0.9438562720564646,0.4353787732774486
BKL,109,0.6835443037974683,0.4954128440366973,0.9733759318423855,0.574468085106383,0.8809684321599203,0.7850529494015518
DF,10,0.6666666666666666,0.8,0.9961464354527938,0.7272727272727273,0.9879576107899808,0.7545600814820872
INF,10,0.3333333333333333,0.3,0.9942196531791907,0.3157894736842105,0.9434489402697495,0.5001046972984885
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7323135755258127,
MEL,90,0.7228915662650602,0.6666666666666666,0.975991649269311,0.6936416184971098,0.9492345163535143,0.8651485738217062
NV,149,0.8843537414965986,0.87248322147651,0.9810901001112347,0.8783783783783784,0.9823442900762219,0.8563006643687057
SCCKA,95,0.5887850467289719,0.6631578947368421,0.9538300104931794,0.6237623762376238,0.9425746948693876,0.7800106470064155
VASC,9,0.5384615384615384,0.7777777777777778,0.9942252165543792,0.6363636363636364,0.9850283392150572,0.9596288513767861
