class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.5384615384615384,0.5737704918032787,0.9696048632218845,0.5555555555555556,0.9356221037420898,0.7045054563162688
BCC,504,0.8752475247524752,0.876984126984127,0.8841911764705882,0.8761149653121902,0.9535626750700281,0.8022562184680685
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.9384023099133781,0.6786888033659433
BKL,109,0.6043956043956044,0.5045871559633027,0.9616613418530351,0.55,0.8692147609696046,0.8149650196645355
DF,10,0.5714285714285714,0.8,0.9942196531791907,0.6666666666666666,0.9860308285163776,0.7965845308475206
INF,10,0.25,0.3,0.9913294797687862,0.2727272727272727,0.9127167630057804,0.7064248198921268
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7753346080305927,
MEL,90,0.7228915662650602,0.6666666666666666,0.975991649269311,0.6936416184971098,0.9478195314312224,0.878986143622909
NV,149,0.8783783783783784,0.87248322147651,0.9799777530589544,0.8754208754208754,0.9796791364006241,0.8754135830406168
SCCKA,95,0.5765765765765766,0.6736842105263158,0.950682056663169,0.6213592233009708,0.9412161042690672,0.7988426271051432
VASC,9,0.5833333333333334,0.7777777777777778,0.9951876804619827,0.6666666666666666,0.9856699818201261,0.9284768083745653
