class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4605263157894737,0.5737704918032787,0.9584599797365755,0.5109489051094891,0.9448901290547611,0.6722017334675432
BCC,504,0.839572192513369,0.9345238095238095,0.8345588235294118,0.8845070422535212,0.9534313725490196,0.8689378006066661
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.9490963533311945,0.5269202653783964
BKL,109,0.75,0.44036697247706424,0.9829605963791267,0.5549132947976878,0.8811247569637815,0.7913766468013136
DF,10,0.7272727272727273,0.8,0.9971098265895953,0.7619047619047619,0.9867052023121388,0.6618231109521311
INF,10,0.42857142857142855,0.3,0.9961464354527938,0.35294117647058826,0.9320809248554913,0.40362640355476964
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6854684512428298,
MEL,90,0.6853932584269663,0.6777777777777778,0.9707724425887265,0.6815642458100558,0.9414752957550453,0.8449638374374968
NV,149,0.8920863309352518,0.8322147651006712,0.9833147942157954,0.8611111111111112,0.9801345268045778,0.7900210816595142
SCCKA,95,0.6235294117647059,0.5578947368421052,0.9664218258132214,0.5888888888888889,0.9359363781962777,0.789785155965366
VASC,9,0.6363636363636364,0.7777777777777778,0.9961501443695862,0.7,0.9737995936263502,0.9393938719105374
