class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4430379746835443,0.5737704918032787,0.955420466058764,0.5,0.9365190094175095,0.6871611123223492
BCC,504,0.890495867768595,0.8551587301587301,0.9025735294117647,0.8724696356275303,0.9518229166666667,0.8123406496176784
BEN_OTH,9,0.3333333333333333,0.3333333333333333,0.9942252165543792,0.3333333333333333,0.9398994759918724,0.4201817229172473
BKL,109,0.5934065934065934,0.4954128440366973,0.9605963791267306,0.54,0.8511299352229094,0.766895612017996
DF,10,0.6666666666666666,0.8,0.9961464354527938,0.7272727272727273,0.9897880539499037,0.7461716628448647
INF,10,0.3333333333333333,0.3,0.9942196531791907,0.3157894736842105,0.9307321772639692,0.6419381641173753
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6606118546845123,
MEL,90,0.6808510638297872,0.7111111111111111,0.9686847599164927,0.6956521739130435,0.9488749710044073,0.8694532625562796
NV,149,0.8832116788321168,0.8120805369127517,0.982202447163515,0.8461538461538461,0.9787982172585498,0.8226434182630569
SCCKA,95,0.5289256198347108,0.6736842105263158,0.9401888772298006,0.5925925925925926,0.9411719224609267,0.7800160020364398
VASC,9,0.5833333333333334,0.7777777777777778,0.9951876804619827,0.6666666666666666,0.9777563896909421,0.9369620469933267
