class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.41,0.6721311475409836,0.9402228976697061,0.5093167701863354,0.9358712442074841,0.7190866490288461
BCC,504,0.890295358649789,0.8373015873015873,0.9044117647058824,0.8629856850715747,0.9511372257236228,0.7943701692841556
BEN_OTH,9,0.25,0.3333333333333333,0.9913378248315688,0.2857142857142857,0.9425729868463265,0.5044470244999725
BKL,109,0.6538461538461539,0.46788990825688076,0.9712460063897763,0.5454545454545454,0.8486189680608884,0.742834804294424
DF,10,0.5714285714285714,0.8,0.9942196531791907,0.6666666666666666,0.988728323699422,0.8128902742767639
INF,10,0.25,0.3,0.9913294797687862,0.2727272727272727,0.9227360308285164,0.7224084922144667
MAL_OTH,2,0.0,0.0,1.0,0.0,0.6563097514340344,
MEL,90,0.6951219512195121,0.6333333333333333,0.9739039665970772,0.6627906976744186,0.9420320111343076,0.866929538213044
NV,149,0.8601398601398601,0.825503355704698,0.9777530589543938,0.8424657534246576,0.9782457764406387,0.8482002591333454
SCCKA,95,0.5689655172413793,0.6947368421052632,0.9475341028331584,0.6255924170616114,0.9407301043795218,0.7653507483331747
VASC,9,0.4117647058823529,0.7777777777777778,0.9903753609239654,0.5384615384615384,0.9750828788364881,0.9844980469081951
