class,support,precision,recall_sensitivity,specificity,f1,auc_ovr,mean_correct_confidence
AKIEC,61,0.4117647058823529,0.6885245901639344,0.939209726443769,0.5153374233128835,0.9350075572607837,0.7662622002408516
BCC,504,0.8893617021276595,0.8293650793650794,0.9044117647058824,0.8583162217659137,0.9503056430905696,0.7781273484323035
BEN_OTH,9,0.2727272727272727,0.3333333333333333,0.9923002887391723,0.3,0.943428510319752,0.49643531073893876
BKL,109,0.7230769230769231,0.43119266055045874,0.9808306709265175,0.5402298850574713,0.8348526150208597,0.6802955493993856
DF,10,0.5,0.9,0.9913294797687862,0.6428571428571429,0.9872832369942197,0.7852776461198953
INF,10,0.19047619047619047,0.4,0.9836223506743738,0.25806451612903225,0.9106936416184972,0.7492377414890523
MAL_OTH,2,0.0,0.0,1.0,0.0,0.608508604206501,
MEL,90,0.7012987012987013,0.6,0.975991649269311,0.6467065868263473,0.9344815588030618,0.8456720991518375
NV,149,0.8266666666666667,0.8322147651006712,0.9710789766407119,0.8294314381270903,0.9749908548648387,0.8764864224201085
SCCKA,95,0.5,0.6526315789473685,0.9349422875131165,0.5662100456621004,0.9345115148837466,0.7751062794101212
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9643888354186718,0.9642515151586367
