class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5217391304347826,0.5901639344262295,0.9665653495440729,0.5538461538461539,0.9504044380221569
BCC,504,0.8910891089108911,0.8928571428571429,0.8988970588235294,0.8919722497522299,0.9628705648926238
BEN_OTH,9,0.5,0.1111111111111111,0.9990375360923965,0.18181818181818182,0.8359533739706982
BKL,109,0.5555555555555556,0.5963302752293578,0.9446219382321619,0.5752212389380531,0.8946663930982601
DF,10,0.7777777777777778,0.7,0.9980732177263969,0.7368421052631579,0.9732177263969171
INF,10,0.6,0.3,0.9980732177263969,0.4,0.9164739884393064
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7060229445506692
MEL,90,0.7384615384615385,0.5333333333333333,0.9822546972860126,0.6193548387096774,0.9207608443516586
NV,149,0.7528089887640449,0.8993288590604027,0.9510567296996663,0.8195718654434251,0.9756328806802488
SCCKA,95,0.6086956521739131,0.5894736842105263,0.9622245540398741,0.5989304812834224,0.9300601977135915
VASC,9,1.0,0.6666666666666666,1.0,0.8,0.9853491605175917
