class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5714285714285714,0.5901639344262295,0.9726443768996961,0.5806451612903226,0.9486770641287557
BCC,504,0.8897795591182365,0.8809523809523809,0.8988970588235294,0.8853439680957128,0.9555540966386554
BEN_OTH,9,0.42857142857142855,0.3333333333333333,0.9961501443695862,0.375,0.8207678323173991
BKL,109,0.6666666666666666,0.5137614678899083,0.9701810436634718,0.5803108808290155,0.8745493449013688
DF,10,0.8,0.8,0.9980732177263969,0.8,0.9809248554913295
INF,10,0.3333333333333333,0.4,0.9922928709055877,0.36363636363636365,0.946242774566474
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5038240917782026
MEL,90,0.7258064516129032,0.5,0.9822546972860126,0.5921052631578947,0.9237763859893297
NV,149,0.7329545454545454,0.8657718120805369,0.9477196885428254,0.7938461538461539,0.9722435816082
SCCKA,95,0.5737704918032787,0.7368421052631579,0.9454354669464848,0.6451612903225806,0.9392389683547799
VASC,9,0.6153846153846154,0.8888888888888888,0.9951876804619827,0.7272727272727273,0.9964709656721206
