class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.38181818181818183,0.6885245901639344,0.9311043566362716,0.49122807017543857,0.9424983805869749
BCC,504,0.9184149184149184,0.7817460317460317,0.9356617647058824,0.8445873526259379,0.9570859593837534
BEN_OTH,9,0.25,0.3333333333333333,0.9913378248315688,0.2857142857142857,0.8980857662282108
BKL,109,0.5321100917431193,0.5321100917431193,0.9456869009584664,0.5321100917431193,0.8851012691620014
DF,10,0.6,0.9,0.9942196531791907,0.72,0.9959537572254336
INF,10,0.2,0.4,0.9845857418111753,0.26666666666666666,0.9384393063583815
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7222753346080306
MEL,90,0.7142857142857143,0.5,0.9812108559498957,0.5882352941176471,0.9260264439805149
NV,149,0.7457627118644068,0.8859060402684564,0.949944382647386,0.8098159509202454,0.9692574150248972
SCCKA,95,0.5849056603773585,0.6526315789473685,0.9538300104931794,0.6169154228855721,0.9252112442701718
VASC,9,0.8571428571428571,0.6666666666666666,0.9990375360923965,0.75,0.9898406587530745
