class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.38461538461538464,0.6557377049180327,0.9351570415400202,0.48484848484848486,0.9311707940937101
BCC,504,0.9325,0.7400793650793651,0.9503676470588235,0.8252212389380531,0.9584245156395891
BEN_OTH,9,0.2857142857142857,0.2222222222222222,0.9951876804619827,0.25,0.9458881403058497
BKL,109,0.4444444444444444,0.6238532110091743,0.9094781682641108,0.5190839694656488,0.8774706646735254
DF,10,0.8181818181818182,0.9,0.9980732177263969,0.8571428571428571,0.9846820809248555
INF,10,0.125,0.2,0.9865125240847784,0.15384615384615385,0.8935452793834298
MAL_OTH,2,0.0,0.0,0.9980879541108987,0.0,0.5602294455066922
MEL,90,0.6623376623376623,0.5666666666666667,0.9728601252609603,0.6107784431137725,0.9225353746230573
NV,149,0.7668711656441718,0.8389261744966443,0.9577308120133482,0.8012820512820513,0.9647632343170264
SCCKA,95,0.580952380952381,0.6421052631578947,0.9538300104931794,0.61,0.9199757000055228
VASC,9,0.6,0.6666666666666666,0.9961501443695862,0.631578947368421,0.9835311731365629
