class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.44642857142857145,0.819672131147541,0.9371833839918946,0.5780346820809249,0.9565332934708588
BCC,504,0.8918918918918919,0.8511904761904762,0.9044117647058824,0.8710659898477158,0.9583296860410832
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.8508180943214629
BKL,109,0.6511627906976745,0.5137614678899083,0.9680511182108626,0.5743589743589743,0.8820236245859835
DF,10,0.7777777777777778,0.7,0.9980732177263969,0.7368421052631579,0.9908477842003854
INF,10,0.25,0.2,0.9942196531791907,0.2222222222222222,0.9564547206165703
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7232313575525813
MEL,90,0.7121212121212122,0.5222222222222223,0.9801670146137788,0.6025641025641025,0.9329041985618186
NV,149,0.757396449704142,0.8590604026845637,0.9543937708565072,0.8050314465408805,0.9689364021171921
SCCKA,95,0.61,0.6421052631578947,0.9590766002098636,0.6256410256410256,0.9281161981554096
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9683456314832638
