class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5666666666666667,0.5573770491803278,0.9736575481256332,0.5619834710743802,0.9515172654342519
BCC,504,0.8803921568627451,0.8908730158730159,0.8878676470588235,0.8856015779092702,0.955875058356676
BEN_OTH,9,0.2857142857142857,0.2222222222222222,0.9951876804619827,0.25,0.7841942038284675
BKL,109,0.7162162162162162,0.48623853211009177,0.9776357827476039,0.5792349726775956,0.889820324178562
DF,10,0.6428571428571429,0.9,0.9951830443159922,0.75,0.9943159922928709
INF,10,0.19230769230769232,0.5,0.9797687861271677,0.2777777777777778,0.8561657032755299
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5869980879541109
MEL,90,0.6956521739130435,0.5333333333333333,0.9780793319415448,0.6037735849056604,0.9359197401994898
NV,149,0.7678571428571429,0.8657718120805369,0.9566184649610678,0.8138801261829653,0.9765585923210726
SCCKA,95,0.6126126126126126,0.7157894736842105,0.9548793284365162,0.6601941747572816,0.9447616943723423
VASC,9,0.6666666666666666,0.6666666666666666,0.9971126082771896,0.6666666666666666,0.9886643139771147
