class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5735294117647058,0.639344262295082,0.9706180344478217,0.6046511627906976,0.9569319182154898
BCC,504,0.9008264462809917,0.8650793650793651,0.9117647058823529,0.8825910931174089,0.9642127684407097
BEN_OTH,9,0.375,0.3333333333333333,0.9951876804619827,0.35294117647058826,0.8171318575553417
BKL,109,0.5526315789473685,0.5779816513761468,0.9456869009584664,0.5650224215246636,0.9072505398090884
DF,10,0.6153846153846154,0.8,0.9951830443159922,0.6956521739130435,0.979287090558767
INF,10,0.16666666666666666,0.3,0.9855491329479769,0.21428571428571427,0.9233140655105974
MAL_OTH,2,0.0,0.0,1.0,0.0,0.48661567877629064
MEL,90,0.7230769230769231,0.5222222222222223,0.9812108559498957,0.6064516129032258,0.9244142890280678
NV,149,0.7329545454545454,0.8657718120805369,0.9477196885428254,0.7938461538461539,0.9741547282215137
SCCKA,95,0.6931818181818182,0.6421052631578947,0.9716684155299056,0.6666666666666666,0.9338929695697795
VASC,9,0.5,0.7777777777777778,0.9932627526467758,0.6086956521739131,0.9854561009517698
