class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4383561643835616,0.5245901639344263,0.9584599797365755,0.47761194029850745,0.9327819024365938
BCC,504,0.8816067653276956,0.8273809523809523,0.8970588235294118,0.8536335721596725,0.9485877684407096
BEN_OTH,9,0.3333333333333333,0.1111111111111111,0.9980750721847931,0.16666666666666666,0.8692118490001068
BKL,109,0.464,0.5321100917431193,0.9286474973375932,0.49572649572649574,0.8545690809078564
DF,10,0.5,0.1,0.9990366088631984,0.16666666666666666,0.9308285163776494
INF,10,1.0,0.2,1.0,0.3333333333333333,0.9052986512524084
MAL_OTH,2,0.0,0.0,1.0,0.0,0.745697896749522
MEL,90,0.6065573770491803,0.4111111111111111,0.9749478079331941,0.4900662251655629,0.9143934122013454
NV,149,0.7078651685393258,0.8456375838926175,0.9421579532814238,0.7706422018348624,0.9646736493195273
SCCKA,95,0.4838709677419355,0.631578947368421,0.9328436516264428,0.547945205479452,0.9073065665212349
VASC,9,0.8571428571428571,0.6666666666666666,0.9990375360923965,0.75,0.9228959469575446
