class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.7333333333333333,0.18032786885245902,0.9959473150962512,0.2894736842105263,0.9000780640124902
BCC,504,0.842436974789916,0.7956349206349206,0.8621323529411765,0.8183673469387756,0.9085952089169
BEN_OTH,9,0.0,0.0,0.9990375360923965,0.0,0.9574377071970912
BKL,109,0.373015873015873,0.43119266055045874,0.9158679446219382,0.4,0.7936903401041514
DF,10,0.75,0.3,0.9990366088631984,0.42857142857142855,0.9482658959537572
INF,10,0.0,0.0,0.9980732177263969,0.0,0.8692678227360309
MAL_OTH,2,0.0,0.0,1.0,0.0,0.9359464627151052
MEL,90,0.6,0.3,0.9812108559498957,0.4,0.8835189051264208
NV,149,0.6565656565656566,0.87248322147651,0.9243604004449388,0.7492795389048992,0.9655396376286851
SCCKA,95,0.43103448275862066,0.7894736842105263,0.8961175236096537,0.5576208178438662,0.9356823327994698
VASC,9,0.7142857142857143,0.5555555555555556,0.9980750721847931,0.625,0.876483798524222
