class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.47368421052631576,0.4426229508196721,0.9696048632218845,0.4576271186440678,0.9002607670204462
BCC,504,0.8633257403189066,0.751984126984127,0.8897058823529411,0.8038176033934252,0.9227467028478057
BEN_OTH,9,0.45454545454545453,0.5555555555555556,0.9942252165543792,0.5,0.9246069939043954
BKL,109,0.3333333333333333,0.44954128440366975,0.8956336528221512,0.3828125,0.8048089417787808
DF,10,0.375,0.6,0.9903660886319846,0.46153846153846156,0.9761078998073218
INF,10,0.09090909090909091,0.1,0.9903660886319846,0.09523809523809523,0.9173410404624278
MAL_OTH,2,0.0,0.0,1.0,0.0,0.9220841300191205
MEL,90,0.64,0.35555555555555557,0.9812108559498957,0.45714285714285713,0.8790883785664579
NV,149,0.5911330049261084,0.8053691275167785,0.9076751946607341,0.6818181818181818,0.9421654186978822
SCCKA,95,0.61,0.6421052631578947,0.9590766002098636,0.6256410256410256,0.9406306953112056
VASC,9,0.35714285714285715,0.5555555555555556,0.9913378248315688,0.43478260869565216,0.9725163084162122
