class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5737704918032787,0.5737704918032787,0.9736575481256332,0.5737704918032787,0.9585098078296543
BCC,504,0.8864970645792564,0.8988095238095238,0.8933823529411765,0.8926108374384236,0.9619149743230626
BEN_OTH,9,0.0,0.0,0.9990375360923965,0.0,0.8981927066623892
BKL,109,0.5849056603773585,0.5688073394495413,0.9531416400425985,0.5767441860465117,0.896131938134459
DF,10,0.6923076923076923,0.9,0.9961464354527938,0.782608695652174,0.9971098265895955
INF,10,1.0,0.2,1.0,0.3333333333333333,0.9574181117533719
MAL_OTH,2,0.0,0.0,0.9990439770554493,0.0,0.8001912045889101
MEL,90,0.6555555555555556,0.6555555555555556,0.9676409185803758,0.6555555555555556,0.9374043145441893
NV,149,0.8424657534246576,0.825503355704698,0.9744160177975528,0.8338983050847457,0.9778127822860598
SCCKA,95,0.5596330275229358,0.6421052631578947,0.9496327387198321,0.5980392156862745,0.9447064671121665
VASC,9,0.875,0.7777777777777778,0.9990375360923965,0.8235294117647058,0.9819270666238905
