class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4329896907216495,0.6885245901639344,0.9442755825734549,0.5316455696202531,0.928729217532845
BCC,504,0.8817427385892116,0.8432539682539683,0.8952205882352942,0.8620689655172413,0.9468990721288515
BEN_OTH,9,0.4,0.2222222222222222,0.9971126082771896,0.2857142857142857,0.8966955405838948
BKL,109,0.6463414634146342,0.48623853211009177,0.9691160809371672,0.5549738219895288,0.8599329757403444
DF,10,0.42857142857142855,0.6,0.9922928709055877,0.5,0.9895953757225434
INF,10,0.36363636363636365,0.4,0.9932562620423893,0.38095238095238093,0.9216763005780346
MAL_OTH,2,0.0,0.0,1.0,0.0,0.5554493307839388
MEL,90,0.6363636363636364,0.6222222222222222,0.9665970772442589,0.6292134831460674,0.9328114126652749
NV,149,0.8181818181818182,0.8456375838926175,0.9688542825361512,0.8316831683168316,0.9777082664556443
SCCKA,95,0.5922330097087378,0.6421052631578947,0.9559286463798531,0.6161616161616161,0.9354614237587673
VASC,9,0.5833333333333334,0.7777777777777778,0.9951876804619827,0.6666666666666666,0.9735857127579939
