class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.417910447761194,0.45901639344262296,0.9604863221884499,0.4375,0.9312040128224293
BCC,504,0.8649706457925636,0.876984126984127,0.8731617647058824,0.870935960591133,0.9449951855742297
BEN_OTH,9,0.3333333333333333,0.2222222222222222,0.9961501443695862,0.26666666666666666,0.8124264784515025
BKL,109,0.5888888888888889,0.48623853211009177,0.9605963791267306,0.5326633165829145,0.8612226553721996
DF,10,0.625,0.5,0.9971098265895953,0.5555555555555556,0.9364161849710984
INF,10,0.36363636363636365,0.4,0.9932562620423893,0.38095238095238093,0.924373795761079
MAL_OTH,2,0.0,0.0,1.0,0.0,0.72131931166348
MEL,90,0.6533333333333333,0.5444444444444444,0.9728601252609603,0.593939393939394,0.9332869403850614
NV,149,0.7231638418079096,0.8590604026845637,0.9454949944382648,0.7852760736196319,0.9734828407402707
SCCKA,95,0.5913978494623656,0.5789473684210527,0.9601259181532005,0.5851063829787234,0.9268791075274755
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9629986097743557
