class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.5147058823529411,0.5737704918032787,0.9665653495440729,0.5426356589147286,0.9478299865464148
BCC,504,0.8993839835728953,0.8690476190476191,0.9099264705882353,0.8839556004036327,0.9544708508403361
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.8860014971660786
BKL,109,0.6145833333333334,0.5412844036697247,0.9605963791267306,0.5756097560975609,0.8770993932643549
DF,10,0.6153846153846154,0.8,0.9951830443159922,0.6956521739130435,0.9809248554913295
INF,10,0.625,0.5,0.9971098265895953,0.5555555555555556,0.9466281310211947
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8962715105162523
MEL,90,0.6170212765957447,0.6444444444444445,0.9624217118997912,0.6304347826086957,0.9352470424495477
NV,149,0.8258064516129032,0.8590604026845637,0.9699666295884316,0.8421052631578947,0.9745503952938015
SCCKA,95,0.5789473684210527,0.6947368421052632,0.9496327387198321,0.631578947368421,0.9384436958082509
VASC,9,0.625,0.5555555555555556,0.9971126082771896,0.5882352941176471,0.9658860014971661
