class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.41904761904761906,0.7213114754098361,0.9381965552178319,0.5301204819277109,0.9395419137309615
BCC,504,0.9090909090909091,0.7936507936507936,0.9264705882352942,0.847457627118644,0.9545912114845939
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.8595872099240723
BKL,109,0.5652173913043478,0.5963302752293578,0.946751863684771,0.5803571428571429,0.8583404168010083
DF,10,0.8888888888888888,0.8,0.9990366088631984,0.8421052631578947,0.9910404624277457
INF,10,0.4166666666666667,0.5,0.9932562620423893,0.45454545454545453,0.9576107899807322
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8465583173996176
MEL,90,0.6111111111111112,0.6111111111111112,0.9634655532359081,0.6111111111111112,0.9383785664578984
NV,149,0.7986577181208053,0.7986577181208053,0.9666295884315906,0.7986577181208053,0.9746623765406753
SCCKA,95,0.5585585585585585,0.6526315789473685,0.9485834207764953,0.6019417475728155,0.9230021538631469
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.961287562827505
