class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4864864864864865,0.5901639344262295,0.961499493414387,0.5333333333333333,0.9403225538558639
BCC,504,0.9184549356223176,0.8492063492063492,0.9301470588235294,0.8824742268041237,0.959595296451914
BEN_OTH,9,0.14285714285714285,0.1111111111111111,0.9942252165543792,0.125,0.9098492139878088
BKL,109,0.5619834710743802,0.6238532110091743,0.9435569755058573,0.591304347826087,0.8704262781995291
DF,10,0.6153846153846154,0.8,0.9951830443159922,0.6956521739130435,0.9886319845857419
INF,10,0.5,0.4,0.9961464354527938,0.4444444444444444,0.9559730250481695
MAL_OTH,2,0.0,0.0,0.9990439770554493,0.0,0.8346080305927343
MEL,90,0.7323943661971831,0.5777777777777777,0.9801670146137788,0.6459627329192547,0.9458014381813964
NV,149,0.7926829268292683,0.87248322147651,0.9621802002224694,0.8306709265175719,0.9754238490194176
SCCKA,95,0.5739130434782609,0.6947368421052632,0.9485834207764953,0.6285714285714286,0.9258187441321035
VASC,9,0.875,0.7777777777777778,0.9990375360923965,0.8235294117647058,0.9737995936263502
