class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.4117647058823529,0.6885245901639344,0.939209726443769,0.5153374233128835,0.949640407261614
BCC,504,0.8927835051546392,0.8591269841269841,0.9044117647058824,0.8756319514661274,0.9586907679738562
BEN_OTH,9,0.25,0.1111111111111111,0.9971126082771896,0.15384615384615385,0.9105977970270559
BKL,109,0.5978260869565217,0.5045871559633027,0.9605963791267306,0.5472636815920398,0.8659612509892429
DF,10,0.8,0.8,0.9980732177263969,0.8,0.9842967244701349
INF,10,0.5,0.4,0.9961464354527938,0.4444444444444444,0.9361271676300578
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8819311663479923
MEL,90,0.7012987012987013,0.6,0.975991649269311,0.6467065868263473,0.9450591510090467
NV,149,0.8064516129032258,0.8389261744966443,0.9666295884315906,0.8223684210526315,0.9756552769296235
SCCKA,95,0.5904761904761905,0.6526315789473685,0.9548793284365162,0.62,0.9257635168719279
VASC,9,0.7,0.7777777777777778,0.9971126082771896,0.7368421052631579,0.9656721206288097
